Month,Stock_Close,Monthly_Return,Search_Interest
2021-08,47.6993408203125,,14
2021-09,45.57407379150391,-4.455548006029364,17
2021-10,51.46382141113281,12.923460927749876,15
2021-11,54.08466339111328,5.092591082662046,15
2021-12,57.8491439819336,6.9603476379199725,17
2022-01,52.79806900024414,-8.73146019804013,17
2022-02,44.43042755126953,-15.848385381169749,13
2022-03,50.177223205566406,12.93436946485713,13
2022-04,46.94643783569336,-6.438748825611862,15
2022-05,44.94503784179688,-4.263156239672805,14
2022-06,40.48131942749024,-9.931504407713687,19
2022-07,54.64208221435547,34.98098131961793,13
2022-08,49.15863037109375,-10.03521758514011,14
2022-09,48.14852142333984,-2.0547947331500005,15
2022-10,56.61419296264648,17.582412271548865,13
2022-11,63.44445037841797,12.064567307844577,16
2022-12,66.47478485107422,4.776358616997478,20
2023-01,73.44934844970703,10.492043884396418,21
2023-02,77.24927520751953,5.173533650083262,20
2023-03,87.97566986083984,13.8854308011374,13
2023-04,83.40613555908203,-5.194088671317775,16
2023-05,77.67256927490234,-6.874273991651636,16
2023-06,78.15741729736328,0.6242203997977036,12
2023-07,72.77561950683594,-6.885843950103121,15
2023-08,73.16348266601562,0.5329575506303419,17
2023-09,69.86653137207031,-4.5062798732471325,36
2023-10,72.96955108642578,4.441353611546139,43
2023-11,73.11500549316406,0.1993357565897691,51
2023-12,85.91498565673828,17.50663913274404,56
2024-01,89.89073181152344,4.627535143484418,58
2024-02,109.38160705566406,21.682853005366255,51
2024-03,102.78768157958984,-6.028367706024451,48
2024-04,93.1876983642578,-9.339624231040421,45
2024-05,90.50487518310548,-2.8789456422300796,45
2024-06,91.67963409423828,1.2980062220472321,42
2024-07,83.35846710205078,-9.076352752056248,47
2024-08,86.88272857666016,4.227838631311243,45
2024-09,92.80543518066406,6.8168975595397585,56
2024-10,89.57487487792969,-3.4810033447345567,54
2024-11,91.77753448486328,2.4590149971577713,55
2024-12,103.1824188232422,12.426662366115227,59
2025-01,121.97845458984376,18.21631628814626,57
2025-02,122.37004089355467,0.32102907437845385,53
2025-03,104.55297088623048,-14.559993505945323,51
2025-04,97.0345458984375,-7.191019943349264,50
2025-05,107.0596160888672,10.331444433122371,54
2025-06,105.03590393066406,-1.8902665936363139,58
2025-07,96.0723114013672,-8.533836710934462,63
2025-08,96.74359130859376,0.6987235941707581,64
2025-09,89.8728256225586,-7.102037037387543,86
2025-10,86.61512756347656,-3.624786509732625,86
2025-11,90.89949035644533,4.946437087250066,81
2025-12,97.158203125,6.8853111761268515,100
2026-01,79.56666564941406,-18.106075359332596,83
2026-02,81.28435516357422,2.158805449669865,95
2026-03,75.7759017944336,-6.776769475571998,74
2026-04,81.69898223876953,7.816575328135578,73
2026-05,82.33999633789062,0.7846047546194557,74
2026-06,83.36000061035156,1.2387713357130181,66
2026-07,87.91999816894531,5.470246551350777,67
2026-08,90.31999969482422,2.729756114492976,61
