Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-08-13 00:00:00+02:00,52.17859649658203,52.51215684645571,51.94033806509079,52.17859649658203,44183,0.0,0.0
2021-08-16 00:00:00+02:00,51.74972629203205,52.13094120495052,51.08260201219217,51.36851501464844,62752,0.0,0.0
2021-08-17 00:00:00+02:00,50.98730244668042,51.70207771462454,50.558436558806946,50.93965148925781,69086,0.0,0.0
2021-08-18 00:00:00+02:00,51.225560250430696,51.65442613312269,49.796009731814024,49.89131164550781,54572,0.0,0.0
2021-08-19 00:00:00+02:00,49.55774806992628,49.74835552037909,46.75583054553449,46.793949127197266,199274,0.0,0.0
2021-08-20 00:00:00+02:00,46.60335218962787,47.518263724175014,46.107774199531015,47.09892654418945,84693,0.0,0.0
2021-08-23 00:00:00+02:00,48.12820361128681,48.652371438362096,47.84229421793075,48.27116012573242,65638,0.0,0.0
2021-08-24 00:00:00+02:00,48.604720478725284,48.79532795280772,47.74698866312195,48.27116012573242,70774,0.0,0.0
2021-08-25 00:00:00+02:00,48.318804239680176,48.318804239680176,47.442011437336916,47.65167999267578,49781,0.0,0.0
2021-08-26 00:00:00+02:00,47.65168639717237,47.65168639717237,46.26025802690337,46.5080451965332,58125,0.0,0.0
2021-08-27 00:00:00+02:00,46.69864937014354,48.22350177291386,46.48898080143704,48.03289794921875,174273,0.0,0.0
2021-08-30 00:00:00+02:00,48.60471593105693,48.60471593105693,46.69864863964293,47.46107482910156,117871,0.0,0.0
2021-08-31 00:00:00+02:00,47.51826281818676,47.69933791984205,46.908321806784535,47.5563850402832,54618,0.0,0.0
2021-09-01 00:00:00+02:00,47.93759926960031,48.70002558021422,47.461082371024695,47.6993408203125,77596,0.0,0.0
2021-09-02 00:00:00+02:00,47.84229734409936,48.318814242674975,47.5945065209402,47.6993408203125,30067,0.0,0.0
2021-09-03 00:00:00+02:00,47.53731645180345,47.88993786189156,46.45085874169683,47.00361633300781,41119,0.0,0.0
2021-09-06 00:00:00+02:00,47.19422877476544,47.49919926478533,46.927380504881796,47.34671401977539,38745,0.0,0.0
2021-09-07 00:00:00+02:00,47.55638361892793,47.84229300503563,46.9464389902204,47.28953170776367,41941,0.0,0.0
2021-09-08 00:00:00+02:00,47.28953278163462,47.4610791443018,46.39368238201113,46.83207702636719,51219,0.0,0.0
2021-09-09 00:00:00+02:00,46.6414684073087,47.42295575780637,46.222134884162536,47.36577606201172,34314,0.0,0.0
2021-09-10 00:00:00+02:00,47.44201441228154,48.03289789882819,47.156105041503906,47.156105041503906,64940,0.0,0.0
2021-09-13 00:00:00+02:00,47.21328945240256,47.794640579783014,46.298377990722656,46.298377990722656,55271,0.0,0.0
2021-09-14 00:00:00+02:00,46.793953466105904,46.793953466105904,45.42158623955717,45.764678955078125,91232,0.0,0.0
2021-09-15 00:00:00+02:00,45.917163962164366,45.97434729296361,44.35418927566883,44.5638542175293,77843,0.0,0.0
2021-09-16 00:00:00+02:00,44.6400978715593,45.326283286912115,44.60197565169859,44.945068359375,49608,0.0,0.0
2021-09-17 00:00:00+02:00,45.57406869950164,46.52710234630934,45.45970567983447,45.70749282836914,74878,0.0,0.0
2021-09-20 00:00:00+02:00,44.92600767105572,46.393680429651624,44.525735265366855,45.993404388427734,68637,0.0,0.0
2021-09-21 00:00:00+02:00,46.336495725512066,46.488980966329954,45.726554762240525,46.20307159423828,29890,0.0,0.0
2021-09-22 00:00:00+02:00,46.660533444045626,47.117989226571325,46.16495543742561,46.88926315307617,58743,0.0,0.0
2021-09-23 00:00:00+02:00,47.13704324413979,47.93759165195507,46.81301165917802,47.46107482910156,75775,0.0,0.0
2021-09-24 00:00:00+02:00,47.19422912597656,47.19422912597656,46.431802895253,47.19422912597656,107747,0.0,0.0
2021-09-27 00:00:00+02:00,46.88925785528239,47.49919882973566,46.298377990722656,46.298377990722656,60782,0.0,0.0
2021-09-28 00:00:00+02:00,46.29837580453371,46.56522405937282,44.81164202285555,45.05942916870117,55766,0.0,0.0
2021-09-29 00:00:00+02:00,45.34534649530655,45.97434860997688,44.773524077538426,45.30722427368164,39842,0.0,0.0
2021-09-30 00:00:00+02:00,45.34534649530655,46.22213577946846,45.211918719619376,45.30722427368164,39932,0.0,0.0
2021-10-01 00:00:00+02:00,44.60197892688347,45.99340733415899,44.373252861993514,45.574073791503906,58436,0.0,0.0
2021-10-04 00:00:00+02:00,45.57406914842331,46.01246375774485,44.96412819014381,45.0784912109375,39681,0.0,0.0
2021-10-05 00:00:00+02:00,45.421588236403466,45.574073490501405,44.6210397435055,45.32628631591797,36885,0.0,0.0
2021-10-06 00:00:00+02:00,44.77352337459084,44.887886402134896,43.78236744111543,44.73540115356445,92727,0.0,0.0
2021-10-07 00:00:00+02:00,45.555012018394144,45.70749727128403,44.88788767367516,45.4787712097168,52731,0.0,0.0
2021-10-08 00:00:00+02:00,45.30722441524356,45.840920977519154,44.79258532830481,44.83070755004883,31534,0.0,0.0
2021-10-11 00:00:00+02:00,45.26909928320819,45.26909928320819,44.1063970435104,44.84976577758789,64070,0.0,0.0
2021-10-12 00:00:00+02:00,44.39231051498476,45.53594802141109,44.22076416191382,45.49782943725586,31783,0.0,0.0
2021-10-13 00:00:00+02:00,45.23098131392521,46.85113943077039,45.05943494652188,46.69865417480469,62062,0.0,0.0
2021-10-14 00:00:00+02:00,47.30859227829376,47.30859227829376,46.260256662685514,46.71771240234375,42699,0.0,0.0
2021-10-15 00:00:00+02:00,47.15610690555662,47.480138508056015,46.71771227733245,47.19422912597656,50424,0.0,0.0
2021-10-18 00:00:00+02:00,47.422953165771744,47.422953165771744,45.89810076900798,46.35555648803711,43145,0.0,0.0
2021-10-19 00:00:00+02:00,46.31743291441232,47.003618290651985,46.27931433225939,46.565223693847656,35271,0.0,0.0
2021-10-20 00:00:00+02:00,46.56522642426724,47.53732121909536,45.993404032026284,47.42295455932617,53667,0.0,0.0
2021-10-21 00:00:00+02:00,47.02268155964506,48.50941539795099,47.02268155964506,48.366458892822266,82979,0.0,0.0
2021-10-22 00:00:00+02:00,48.795330704746114,50.12957582750094,48.223508250249424,48.89063262939453,114497,0.0,0.0
2021-10-25 00:00:00+02:00,49.17654137660263,49.3671488588679,47.98524915686385,48.79533004760742,53242,0.0,0.0
2021-10-26 00:00:00+02:00,48.84297489380076,49.70070663883268,48.60471647968466,48.985931396484375,55344,0.0,0.0
2021-10-27 00:00:00+02:00,48.98593144903969,50.32017638820039,48.65236748759835,48.74767303466797,76754,0.0,0.0
2021-10-28 00:00:00+02:00,48.604719296086714,49.55775300777469,48.50941737913195,49.36714553833008,41860,0.0,0.0
2021-10-29 00:00:00+02:00,49.22418960439595,49.93896484375,48.70001818710843,49.93896484375,48499,0.0,0.0
2021-11-01 00:00:00+01:00,50.03427081637912,51.46382141113281,49.65305587023074,51.46382141113281,99188,0.0,0.0
2021-11-02 00:00:00+01:00,51.22555770981672,52.4168497495799,51.034950256347656,51.034950256347656,57424,0.0,0.0
2021-11-03 00:00:00+01:00,51.13026013584636,52.32155227661133,51.13026013584636,52.32155227661133,62551,0.0,0.0
2021-11-04 00:00:00+01:00,52.4645028467465,55.46656036376953,51.98798601137998,55.46656036376953,179532,0.0,0.0
2021-11-05 00:00:00+01:00,55.27595095812532,58.23035377925948,55.27595095812532,57.4202766418457,240459,0.0,0.0
2021-11-08 00:00:00+01:00,57.70619523224062,60.374689115970426,57.56324234512416,59.37400436401367,175947,0.0,0.0
2021-11-09 00:00:00+01:00,59.37399878538555,60.32703248542556,58.42096508534554,60.13642501831055,141613,0.0,0.0
2021-11-10 00:00:00+01:00,59.89816691437714,60.04112342436346,58.039754097765375,58.945133209228516,147656,0.0,0.0
2021-11-11 00:00:00+01:00,58.94513074904161,60.04112091843333,58.3733120040324,59.85051345825195,98990,0.0,0.0
2021-11-12 00:00:00+01:00,59.99347292042926,60.89885567428221,59.80286545084942,60.46998977661133,59901,0.0,0.0
2021-11-15 00:00:00+01:00,60.517640936483225,60.517640936483225,59.373999750734,59.75521469116211,87240,0.0,0.0
2021-11-16 00:00:00+01:00,59.659909205516,60.04112414637369,59.135741388488015,59.5169563293457,94805,0.0,0.0
2021-11-17 00:00:00+01:00,59.7552126264478,59.898165497517574,58.4686149736099,58.9927864074707,91450,0.0,0.0
2021-11-18 00:00:00+01:00,58.992787802914,59.56460657178915,58.51627095033969,58.945133209228516,54303,0.0,0.0
2021-11-19 00:00:00+01:00,59.326348612941764,59.326348612941764,57.08672084241021,57.27732467651367,75473,0.0,0.0
2021-11-22 00:00:00+01:00,57.18202517230826,58.51627388054288,57.18202517230826,57.324981689453125,99536,0.0,0.0
2021-11-23 00:00:00+01:00,57.61088762891339,57.61088762891339,55.657169279945904,55.89542770385742,78449,0.0,0.0
2021-11-24 00:00:00+01:00,55.3712540197284,56.08602926250734,54.6088278212045,55.13299560546875,77453,0.0,0.0
2021-11-25 00:00:00+01:00,55.18065165399486,55.84777232311172,54.751785769894745,55.56186294555664,43679,0.0,0.0
2021-11-26 00:00:00+01:00,53.7034417702013,54.46587155670414,52.75040817260742,52.75040817260742,96543,0.0,0.0
